Row.names,ensembl_gene_id,logFC,p-value
132,10115,-0.032988129,0.821238686
133,10116,-0.039102854,0.747908309
134,10117,-0.018333905,0.892669982
135,10118,-0.008406177,0.942817203
136,10119,0.006137674,0.929280928
137,1012,-0.023850701,0.856873338
138,10120,-0.026186855,0.846985969
139,10121,-0.020848729,0.870276822
140,10122,-0.014680717,0.875914762
141,10123,-0.040222005,0.764291991
142,10124,-0.022158305,0.82411198
143,10125,-0.028114104,0.8354239
144,10126,0.040412994,0.719579597
145,10127,-0.110072837,0.423816719
146,10128,0.030226778,0.793307522
147,10129,-0.027522009,0.82904113
148,1013,-0.037211185,0.794888451
149,10130,0.030765424,0.805934091
150,10131,-0.023780471,0.842920602
151,10132,-0.017104479,0.885510254
152,10133,-0.041921274,0.691594804
153,10134,-0.016954024,0.90553363
154,10135,-0.041532531,0.74680404
155,10136,-0.022107762,0.812797308
156,10137,-0.011106852,0.937970115
157,10138,-0.004241413,0.978899338
158,10139,-0.012632265,0.894018737
159,1014,-0.023093514,0.819803795
160,10140,-0.018738041,0.894786532
161,10141,0.092420562,0.427240243
162,10142,-0.011150831,0.926095573
163,10143,-0.009282133,0.946779681
164,10144,-0.019318743,0.854542705
165,10145,-0.019141408,0.881336443
166,10146,-0.014603064,0.909926597
167,10147,-0.034171852,0.80330587
168,10148,0.075847228,0.59761317
169,10149,-0.008140537,0.944011243
170,1015,-0.044345597,0.695444652
171,10150,-0.056688878,0.673012582
172,10151,-0.007534934,0.931325458
173,10152,-0.016742893,0.899365954
174,10153,-0.017095548,0.895459002
175,10154,0.002744602,0.984056169
176,10155,-0.026014268,0.844974629
177,10156,-0.033345835,0.833025784
178,10157,0.09583581,0.408088819
179,10158,-0.048755973,0.664784134
180,10159,-0.021451215,0.857633395
181,1016,-0.04631614,0.752171683
182,10160,-0.018670368,0.870010623
183,10161,-0.047627047,0.713790604
184,10162,0.002020263,0.990187337
185,10163,-0.020686769,0.863531714
186,10164,-0.034690625,0.785102496
187,10165,-0.028464452,0.815782081
188,10166,-0.052913584,0.606393556
189,10167,-0.015262531,0.898925238
190,10168,-0.012761579,0.920984039
191,10169,-0.004117848,0.970505417
192,1017,0.003001921,0.982978916
193,10170,-0.025123741,0.850177798
194,10171,-0.043192163,0.751898863
195,10172,-0.020295374,0.875149787
196,10173,-0.020472143,0.870281348
197,10174,-0.013407662,0.907054209
198,10175,-0.035459285,0.79065848
199,10176,-0.01357538,0.892117323
200,10177,-0.023938626,0.848562275
201,10178,0.001990942,0.989119102
202,10179,-0.014455528,0.899392108
203,1018,-0.012482722,0.92376934
204,10180,-0.025544407,0.761801592
205,10181,-0.061256505,0.535867297
206,10182,-0.035000603,0.800023103
207,10183,-0.0286585,0.823072628
208,10184,-0.037014967,0.789124632
209,10185,-0.023237202,0.815873599
210,10186,-0.01862985,0.885771548
211,10187,0.038521685,0.740689232
212,10188,-0.002804587,0.983138156
213,10189,-0.03456584,0.777468452
214,1019,-0.026572331,0.85038869
215,10190,-0.01571399,0.893736363
216,10191,-0.020211981,0.86527035
217,10192,0.003818071,0.977437332
218,10193,-0.015721804,0.891818209
219,10194,-0.021495219,0.871335294
220,10195,-0.025377009,0.835786917
221,10196,-0.028710142,0.836542967
222,10197,0.050260913,0.742930623
223,10198,-0.035323945,0.827540845
224,10199,-0.045957166,0.603952993
225,102,-0.027852225,0.830285956
226,1020,-0.02540834,0.816256284
227,10200,-0.029463804,0.809487743
228,10201,-0.010178667,0.940883358
229,10202,-0.024201011,0.836327547
230,10203,-0.01835561,0.87214018
231,10204,-0.036862297,0.762210315
232,10205,-0.023665602,0.846676164
233,10206,-0.006916542,0.957424213
234,10207,-0.024389296,0.839695019
235,10208,0.048446664,0.694166027
236,10209,-0.027100542,0.781640708
237,1021,-0.057718121,0.670288341
238,10210,-0.018104965,0.891200278
239,10211,-0.037592328,0.778284785
240,10212,-0.050822003,0.659908378
241,10213,-0.101832408,0.43711337
